 r Theta rho m1 m2 m3
        6144          96          64
   200.00000000000000     
  0.473697E+01  0.171454E+00  0.100058E-07  0.144711E-11  0.383702E-15  0.863566E-29
  0.484714E+01  0.171454E+00  0.100012E-07  0.385912E-12 -0.742625E-16  0.000000E+00
  0.495988E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.507524E+01  0.171454E+00  0.100063E-07  0.166037E-11 -0.426045E-16  0.345421E-22
  0.519328E+01  0.171454E+00  0.100018E-07  0.362482E-12 -0.529036E-16  0.230702E-23
  0.531407E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.543767E+01  0.171454E+00  0.100471E-07  0.943422E-11  0.800349E-14  0.193556E-22
  0.556415E+01  0.171454E+00  0.100730E-07  0.933863E-11 -0.566068E-14  0.913339E-23
  0.569356E+01  0.171454E+00  0.100612E-07  0.737562E-11 -0.136104E-13  0.846650E-24
  0.582599E+01  0.171454E+00  0.100443E-07  0.526495E-11 -0.125567E-13  0.116338E-25
  0.596149E+01  0.171454E+00  0.100288E-07  0.304784E-11 -0.529341E-14  0.187026E-25
  0.610015E+01  0.171454E+00  0.100086E-07  0.106179E-11 -0.954335E-15  0.713054E-26
  0.624203E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.638722E+01  0.171454E+00  0.100328E-07  0.650391E-11 -0.290821E-14 -0.656109E-21
  0.653577E+01  0.171454E+00  0.100738E-07  0.718345E-11 -0.554749E-14 -0.144024E-21
  0.668779E+01  0.171454E+00  0.100631E-07  0.477855E-11 -0.484506E-14 -0.243025E-24
  0.684334E+01  0.171454E+00  0.100241E-07  0.196853E-11 -0.205577E-14  0.000000E+00
  0.700251E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.716538E+01  0.171454E+00  0.100028E-07  0.716925E-11  0.487824E-14 -0.441079E-22
  0.733204E+01  0.171454E+00  0.100652E-07  0.105304E-10  0.341608E-14 -0.416467E-22
  0.750257E+01  0.171454E+00  0.100819E-07  0.937744E-11 -0.334498E-16 -0.122930E-22
  0.767707E+01  0.171454E+00  0.100606E-07  0.697221E-11  0.844791E-15 -0.305594E-24
  0.785563E+01  0.171454E+00  0.100252E-07  0.512237E-11  0.214199E-14 -0.642269E-26
  0.803834E+01  0.171454E+00  0.100058E-07  0.444003E-11 -0.699777E-15 -0.149401E-25
  0.822530E+01  0.171454E+00  0.100053E-07  0.434123E-11 -0.317319E-14 -0.280330E-25
  0.841662E+01  0.171454E+00  0.100130E-07  0.381330E-11 -0.346129E-14 -0.815870E-26
  0.861238E+01  0.171454E+00  0.100154E-07  0.246199E-11 -0.255372E-14 -0.291668E-27
  0.881269E+01  0.171454E+00  0.100075E-07  0.107109E-11 -0.847653E-15  0.000000E+00
  0.901766E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.922740E+01  0.171454E+00  0.100036E-07  0.775833E-11  0.290056E-14 -0.102819E-22
  0.944202E+01  0.171454E+00  0.100312E-07  0.998235E-11 -0.912337E-15 -0.750709E-22
  0.966163E+01  0.171454E+00  0.100207E-07  0.914597E-11 -0.617372E-14 -0.116655E-21
  0.988635E+01  0.171454E+00  0.100048E-07  0.856545E-11 -0.746466E-14 -0.430466E-22
  0.111279E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.113867E+01  0.474797E+00  0.100000E-07  0.773123E-12  0.331859E-17 -0.235946E-43
  0.116516E+01  0.474797E+00  0.100001E-07  0.313158E-13  0.829621E-20 -0.542153E-41
  0.119226E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.121999E+01  0.474797E+00  0.100007E-07  0.615214E-12 -0.798750E-17 -0.299600E-33
  0.124837E+01  0.474797E+00  0.100004E-07  0.504799E-12  0.354568E-16 -0.157488E-32
  0.127740E+01  0.474797E+00  0.100002E-07  0.310956E-12 -0.231524E-16 -0.164396E-32
  0.130711E+01  0.474797E+00  0.100001E-07  0.216213E-12  0.918166E-17 -0.344862E-32
  0.133751E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.136862E+01  0.474797E+00  0.100004E-07  0.112212E-11  0.148342E-15  0.715533E-23
  0.140045E+01  0.474797E+00  0.100014E-07  0.487335E-12  0.281226E-16  0.531107E-22
  0.143303E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.146636E+01  0.474797E+00  0.100018E-07  0.105047E-11  0.237850E-15  0.669256E-24
  0.150046E+01  0.474797E+00  0.100016E-07  0.508008E-12 -0.470328E-16  0.448465E-24
  0.153536E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.157107E+01  0.474797E+00  0.100024E-07  0.216824E-11  0.562940E-15  0.346531E-23
  0.160761E+01  0.474797E+00  0.100084E-07  0.167629E-11 -0.276141E-15  0.283504E-23
  0.164501E+01  0.474797E+00  0.100000E-07  0.279413E-12 -0.368800E-16  0.200964E-24
  0.168327E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.172242E+01  0.474797E+00  0.100091E-07  0.209288E-11  0.980458E-15  0.659554E-23
  0.176248E+01  0.474797E+00  0.100045E-07  0.805661E-12  0.569198E-15  0.131752E-23
  0.180347E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.184542E+01  0.474797E+00  0.100056E-07  0.250077E-11 -0.863023E-15  0.155884E-24
  0.188834E+01  0.474797E+00  0.100100E-07  0.171223E-11  0.237955E-15  0.364841E-24
  0.193226E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.197720E+01  0.474797E+00  0.100034E-07  0.338187E-11  0.102197E-14  0.400375E-26
  0.202319E+01  0.474797E+00  0.100172E-07  0.377173E-11  0.245333E-14  0.177595E-26
  0.207025E+01  0.474797E+00  0.100164E-07  0.271984E-11  0.246158E-14 -0.377708E-28
  0.211840E+01  0.474797E+00  0.100085E-07  0.141228E-11  0.711803E-15 -0.214292E-27
  0.216767E+01  0.474797E+00  0.100005E-07  0.175303E-12  0.382759E-17 -0.842676E-29
  0.221809E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.226968E+01  0.474797E+00  0.100165E-07  0.437510E-11  0.327771E-14 -0.249641E-29
  0.232247E+01  0.474797E+00  0.100243E-07  0.349566E-11 -0.157742E-14 -0.935472E-30
  0.237649E+01  0.474797E+00  0.100147E-07  0.168727E-11 -0.296576E-14  0.113110E-29
  0.243176E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.248832E+01  0.474797E+00  0.100032E-07  0.388116E-11 -0.999081E-15  0.257835E-27
  0.254620E+01  0.474797E+00  0.100278E-07  0.483772E-11 -0.521257E-14  0.386545E-26
  0.260542E+01  0.474797E+00  0.100298E-07  0.331475E-11 -0.749580E-14  0.259196E-24
  0.266602E+01  0.474797E+00  0.100107E-07  0.131151E-11 -0.359737E-14  0.896823E-24
  0.272803E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.279148E+01  0.474797E+00  0.100204E-07  0.509799E-11  0.703035E-14  0.279075E-22
  0.285640E+01  0.474797E+00  0.100440E-07  0.519070E-11 -0.387071E-15  0.286169E-22
  0.292284E+01  0.474797E+00  0.100321E-07  0.282916E-11 -0.443801E-14  0.161528E-22
  0.299082E+01  0.474797E+00  0.100007E-07  0.880085E-12 -0.562676E-15  0.925833E-23
  0.306038E+01  0.474797E+00  0.100027E-07  0.476836E-11  0.280957E-14  0.577639E-22
  0.313156E+01  0.474797E+00  0.100394E-07  0.648476E-11 -0.145201E-14  0.487896E-22
  0.320440E+01  0.474797E+00  0.100471E-07  0.495421E-11 -0.716088E-14  0.132797E-22
  0.327893E+01  0.474797E+00  0.100240E-07  0.225724E-11 -0.616785E-14  0.175588E-23
  0.335520E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.343323E+01  0.474797E+00  0.100067E-07  0.463058E-11  0.473637E-14  0.980961E-23
  0.351309E+01  0.474797E+00  0.100295E-07  0.550363E-11  0.376906E-14  0.810234E-23
  0.359480E+01  0.474797E+00  0.100277E-07  0.389982E-11 -0.121471E-14  0.318980E-23
  0.367841E+01  0.474797E+00  0.100025E-07  0.212320E-11 -0.896245E-15  0.154033E-23
  0.376396E+01  0.474797E+00  0.100044E-07  0.484967E-11  0.510240E-14  0.547458E-23
  0.385151E+01  0.474797E+00  0.100242E-07  0.567176E-11  0.863415E-14  0.315553E-23
  0.394109E+01  0.474797E+00  0.100250E-07  0.391065E-11  0.597480E-14 -0.363670E-23
  0.403275E+01  0.474797E+00  0.100008E-07  0.120032E-11 -0.565413E-15 -0.400843E-22
  0.412655E+01  0.474797E+00  0.100170E-07  0.647439E-11 -0.886174E-14 -0.325083E-21
  0.422253E+01  0.474797E+00  0.100586E-07  0.800476E-11  0.915029E-16  0.600084E-21
  0.432074E+01  0.474797E+00  0.100608E-07  0.638017E-11  0.926859E-14  0.977366E-20
  0.442124E+01  0.474797E+00  0.100389E-07  0.398330E-11  0.955126E-14  0.212333E-19
  0.452407E+01  0.474797E+00  0.100159E-07  0.198960E-11  0.437191E-14  0.520893E-20
  0.462929E+01  0.474797E+00  0.100030E-07  0.655778E-12 -0.248232E-15  0.494270E-22
  0.473697E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.484714E+01  0.474797E+00  0.100019E-07  0.281388E-11 -0.590451E-14  0.679993E-21
  0.495988E+01  0.474797E+00  0.100056E-07  0.296580E-11 -0.202142E-14  0.108836E-20
  0.507524E+01  0.474797E+00  0.100078E-07  0.256681E-11 -0.237545E-14  0.156753E-20
  0.519328E+01  0.474797E+00  0.100086E-07  0.159455E-11 -0.573362E-14  0.153744E-20
  0.531407E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.543767E+01  0.474797E+00  0.100001E-07  0.715381E-11  0.122898E-13  0.504100E-22
  0.556415E+01  0.474797E+00  0.100486E-07  0.958473E-11  0.786881E-14  0.352448E-22
  0.569356E+01  0.474797E+00  0.100677E-07  0.885408E-11 -0.156604E-13  0.119438E-22
  0.582599E+01  0.474797E+00  0.100673E-07  0.681857E-11 -0.276799E-13  0.274999E-23
  0.596149E+01  0.474797E+00  0.100505E-07  0.433981E-11 -0.231029E-13  0.447418E-24
  0.610015E+01  0.474797E+00  0.100212E-07  0.192742E-11 -0.870059E-14  0.224018E-25
  0.624203E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.638722E+01  0.474797E+00  0.100113E-07  0.542549E-11  0.190347E-14 -0.125743E-19
  0.653577E+01  0.474797E+00  0.100607E-07  0.749953E-11 -0.745140E-14 -0.182968E-19
  0.668779E+01  0.474797E+00  0.100681E-07  0.581032E-11 -0.166132E-13 -0.336949E-20
  0.684334E+01  0.474797E+00  0.100376E-07  0.291049E-11 -0.142433E-13  0.000000E+00
  0.700251E+01  0.474797E+00  0.100076E-07  0.919719E-12 -0.424079E-14  0.000000E+00
  0.716538E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.733204E+01  0.474797E+00  0.100275E-07  0.781605E-11  0.222601E-13 -0.155410E-21
