 r Theta rho m1 m2 m3
  0.803834E+01  0.171454E+00  0.100295E-07  0.356068E-11 -0.340357E-14  0.448034E-24
  0.822530E+01  0.171454E+00  0.100126E-07  0.189730E-11 -0.119403E-14  0.434650E-25
  0.841662E+01  0.171454E+00  0.100029E-07  0.629522E-12 -0.297867E-15  0.000000E+00
  0.861238E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.881269E+01  0.171454E+00  0.100146E-07  0.722445E-11 -0.196240E-15  0.392912E-18
  0.901766E+01  0.171454E+00  0.100301E-07  0.809048E-11 -0.349359E-14  0.665901E-18
  0.922740E+01  0.171454E+00  0.100222E-07  0.716934E-11 -0.380603E-14  0.752586E-19
  0.944202E+01  0.171454E+00  0.100148E-07  0.624668E-11 -0.134504E-14  0.196777E-26
  0.966163E+01  0.171454E+00  0.100116E-07  0.542641E-11  0.476639E-15  0.251050E-26
  0.988635E+01  0.171454E+00  0.100064E-07  0.501460E-11  0.902600E-15  0.256582E-26
  0.111279E+01  0.474797E+00  0.100000E-07  0.281775E-12  0.000000E+00  0.000000E+00
  0.113867E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.116516E+01  0.474797E+00  0.100001E-07  0.468454E-12  0.564609E-17  0.000000E+00
  0.119226E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.121999E+01  0.474797E+00  0.100004E-07  0.744097E-12  0.302983E-16 -0.723540E-27
  0.124837E+01  0.474797E+00  0.100000E-07  0.171268E-13 -0.123450E-17 -0.357965E-29
  0.127740E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.130711E+01  0.474797E+00  0.100009E-07  0.557748E-12 -0.491902E-16  0.856242E-25
  0.133751E+01  0.474797E+00  0.100004E-07  0.432853E-12 -0.297731E-16  0.398528E-27
  0.136862E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.140045E+01  0.474797E+00  0.100001E-07  0.145618E-11 -0.203780E-15  0.327051E-25
  0.143303E+01  0.474797E+00  0.100033E-07  0.934141E-12 -0.174971E-16  0.653052E-26
  0.146636E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.150046E+01  0.474797E+00  0.100007E-07  0.149599E-11 -0.370117E-15 -0.690506E-29
  0.153536E+01  0.474797E+00  0.100030E-07  0.134670E-11 -0.510801E-15 -0.329488E-28
  0.157107E+01  0.474797E+00  0.100025E-07  0.919009E-12 -0.313303E-15 -0.411354E-30
  0.160761E+01  0.474797E+00  0.100005E-07  0.217129E-12  0.176924E-16  0.689666E-31
  0.164501E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.168327E+01  0.474797E+00  0.100075E-07  0.199321E-11 -0.732701E-15  0.111372E-25
  0.172242E+01  0.474797E+00  0.100051E-07  0.869005E-12 -0.836695E-16  0.168923E-26
  0.176248E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.180347E+01  0.474797E+00  0.100065E-07  0.311695E-11  0.301720E-15  0.629496E-25
  0.184542E+01  0.474797E+00  0.100166E-07  0.293196E-11  0.607035E-15  0.214394E-25
  0.188834E+01  0.474797E+00  0.100115E-07  0.153572E-11  0.723592E-15  0.480872E-26
  0.193226E+01  0.474797E+00  0.100007E-07  0.226602E-12  0.296311E-16  0.121604E-23
  0.197720E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.202319E+01  0.474797E+00  0.100132E-07  0.389301E-11  0.121131E-14  0.165742E-24
  0.207025E+01  0.474797E+00  0.100201E-07  0.310412E-11  0.196391E-14  0.437660E-25
  0.211840E+01  0.474797E+00  0.100115E-07  0.145289E-11  0.747930E-15  0.994033E-27
  0.216767E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.221809E+01  0.474797E+00  0.100048E-07  0.393021E-11  0.389344E-14  0.244517E-26
  0.226968E+01  0.474797E+00  0.100266E-07  0.456893E-11  0.445955E-14  0.415527E-26
  0.232247E+01  0.474797E+00  0.100272E-07  0.299799E-11  0.976293E-15  0.416691E-26
  0.237649E+01  0.474797E+00  0.100093E-07  0.103819E-11 -0.964337E-15  0.510838E-27
  0.243176E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.248832E+01  0.474797E+00  0.100067E-07  0.329496E-11  0.524973E-14  0.126818E-23
  0.254620E+01  0.474797E+00  0.100186E-07  0.294688E-11  0.327164E-14  0.411116E-23
  0.260542E+01  0.474797E+00  0.100045E-07  0.138055E-11  0.672036E-15  0.845850E-23
  0.266602E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.272803E+01  0.474797E+00  0.100310E-07  0.623658E-11  0.576253E-14  0.849592E-22
  0.279148E+01  0.474797E+00  0.100491E-07  0.550886E-11  0.765917E-14  0.454948E-22
  0.285640E+01  0.474797E+00  0.100332E-07  0.314439E-11  0.607577E-14  0.893826E-23
  0.292284E+01  0.474797E+00  0.100101E-07  0.122382E-11  0.202025E-14  0.677541E-27
  0.299082E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.306038E+01  0.474797E+00  0.100040E-07  0.290257E-11  0.489341E-14 -0.326078E-23
  0.313156E+01  0.474797E+00  0.100155E-07  0.276466E-11  0.705206E-14 -0.600884E-23
  0.320440E+01  0.474797E+00  0.100072E-07  0.137360E-11  0.256439E-14 -0.429430E-23
  0.327893E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.335520E+01  0.474797E+00  0.100225E-07  0.544053E-11  0.663456E-14  0.293918E-22
  0.343323E+01  0.474797E+00  0.100428E-07  0.542204E-11  0.961675E-14  0.282572E-22
  0.351309E+01  0.474797E+00  0.100316E-07  0.372939E-11  0.512785E-14  0.174080E-22
  0.359480E+01  0.474797E+00  0.100151E-07  0.204092E-11  0.412565E-15  0.756655E-23
  0.367841E+01  0.474797E+00  0.100000E-07  0.414390E-12 -0.833995E-15  0.222744E-23
  0.376396E+01  0.474797E+00  0.100014E-07  0.235126E-11 -0.721435E-14  0.306574E-22
  0.385151E+01  0.474797E+00  0.100061E-07  0.107357E-11 -0.421684E-14  0.802935E-23
  0.394109E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.403275E+01  0.474797E+00  0.100212E-07  0.594066E-11  0.112627E-13  0.394988E-21
  0.412655E+01  0.474797E+00  0.100452E-07  0.624501E-11  0.502726E-14  0.513338E-21
  0.422253E+01  0.474797E+00  0.100349E-07  0.369914E-11 -0.142698E-14  0.280189E-21
  0.432074E+01  0.474797E+00  0.100006E-07  0.112318E-11  0.128500E-14  0.300381E-22
  0.442124E+01  0.474797E+00  0.100122E-07  0.594021E-11  0.133364E-13  0.167239E-21
  0.452407E+01  0.474797E+00  0.100574E-07  0.766841E-11  0.103719E-13  0.230849E-21
  0.462929E+01  0.474797E+00  0.100630E-07  0.603560E-11 -0.202581E-14  0.202447E-21
  0.473697E+01  0.474797E+00  0.100374E-07  0.353326E-11 -0.678374E-14  0.182597E-21
  0.484714E+01  0.474797E+00  0.100124E-07  0.170527E-11 -0.560091E-14  0.831974E-21
  0.495988E+01  0.474797E+00  0.100023E-07  0.614866E-12 -0.963965E-15  0.100758E-21
  0.507524E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.519328E+01  0.474797E+00  0.100087E-07  0.651999E-11  0.591002E-14  0.162841E-18
  0.531407E+01  0.474797E+00  0.100241E-07  0.730712E-11 -0.734322E-14  0.257141E-18
  0.543767E+01  0.474797E+00  0.100336E-07  0.652101E-11 -0.168336E-13  0.317927E-18
  0.556415E+01  0.474797E+00  0.100372E-07  0.471678E-11 -0.157077E-13  0.236516E-18
  0.569356E+01  0.474797E+00  0.100263E-07  0.234784E-11 -0.729718E-14  0.445559E-19
  0.582599E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.596149E+01  0.474797E+00  0.100107E-07  0.697596E-11 -0.429756E-14  0.209284E-18
  0.610015E+01  0.474797E+00  0.100805E-07  0.101479E-10 -0.122507E-13  0.293477E-19
  0.624203E+01  0.474797E+00  0.100930E-07  0.884430E-11 -0.150979E-13  0.100605E-20
  0.638722E+01  0.474797E+00  0.100551E-07  0.641968E-11 -0.114465E-13  0.214030E-20
  0.653577E+01  0.474797E+00  0.100176E-07  0.494916E-11 -0.299840E-14  0.949162E-20
  0.668779E+01  0.474797E+00  0.100077E-07  0.433110E-11  0.219792E-14  0.217016E-19
  0.684334E+01  0.474797E+00  0.100120E-07  0.369458E-11  0.410249E-14  0.245464E-19
  0.700251E+01  0.474797E+00  0.100149E-07  0.226925E-11  0.212478E-14  0.120081E-19
  0.716538E+01  0.474797E+00  0.100037E-07  0.553169E-12 -0.378838E-16  0.815241E-21
  0.733204E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.750257E+01  0.474797E+00  0.100500E-07  0.880979E-11 -0.303920E-14  0.176802E-20
  0.767707E+01  0.474797E+00  0.100868E-07  0.907594E-11 -0.131410E-13  0.324151E-21
  0.785563E+01  0.474797E+00  0.100718E-07  0.685187E-11 -0.151627E-13 -0.394492E-23
  0.803834E+01  0.474797E+00  0.100389E-07  0.465503E-11 -0.102300E-13 -0.156862E-23
  0.822530E+01  0.474797E+00  0.100199E-07  0.298499E-11 -0.444188E-14  0.101127E-22
  0.841662E+01  0.474797E+00  0.100094E-07  0.157227E-11 -0.182774E-14  0.226213E-22
  0.861238E+01  0.474797E+00  0.100017E-07  0.453825E-12 -0.325438E-15  0.322728E-23
  0.881269E+01  0.474797E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.901766E+01  0.474797E+00  0.100153E-07  0.740866E-11 -0.197062E-14  0.187169E-16
  0.922740E+01  0.474797E+00  0.100261E-07  0.796231E-11 -0.750734E-14  0.300681E-16
  0.944202E+01  0.474797E+00  0.100189E-07  0.708645E-11 -0.781979E-14  0.376125E-17
  0.966163E+01  0.474797E+00  0.100088E-07  0.630657E-11 -0.405057E-14  0.232806E-22
  0.988635E+01  0.474797E+00  0.100027E-07  0.601307E-11 -0.201603E-14  0.198351E-22
  0.111279E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.113867E+01  0.708137E+00  0.100001E-07  0.448626E-12 -0.228634E-17  0.000000E+00
  0.116516E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.119226E+01  0.708137E+00  0.100005E-07  0.622444E-12 -0.314763E-16 -0.135400E-26
  0.121999E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.124837E+01  0.708137E+00  0.100008E-07  0.866228E-12 -0.105152E-15 -0.455271E-25
  0.127740E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.130711E+01  0.708137E+00  0.100005E-07  0.118829E-11 -0.203988E-15  0.266489E-22
  0.133751E+01  0.708137E+00  0.100018E-07  0.546236E-12 -0.140109E-15  0.157319E-23
  0.136862E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.140045E+01  0.708137E+00  0.100026E-07  0.125454E-11 -0.709388E-16 -0.148729E-22
  0.143303E+01  0.708137E+00  0.100020E-07  0.546909E-12  0.144062E-15 -0.784978E-24
  0.146636E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.150046E+01  0.708137E+00  0.100011E-07  0.216850E-11 -0.143818E-15 -0.323370E-25
  0.153536E+01  0.708137E+00  0.100044E-07  0.215209E-11 -0.275175E-16 -0.326057E-26
  0.157107E+01  0.708137E+00  0.100059E-07  0.138247E-11 -0.176366E-15  0.613260E-26
  0.160761E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.164501E+01  0.708137E+00  0.100008E-07  0.234184E-11 -0.396732E-15  0.263533E-23
  0.168327E+01  0.708137E+00  0.100103E-07  0.222018E-11 -0.582371E-15  0.105987E-23
  0.172242E+01  0.708137E+00  0.100049E-07  0.958406E-12 -0.279734E-15  0.224258E-24
  0.176248E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.180347E+01  0.708137E+00  0.100066E-07  0.289664E-11 -0.161191E-15  0.184426E-22
  0.184542E+01  0.708137E+00  0.100144E-07  0.226657E-11 -0.314778E-15  0.182919E-22
  0.188834E+01  0.708137E+00  0.100012E-07  0.101449E-11  0.556924E-16  0.336696E-22
  0.193226E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.197720E+01  0.708137E+00  0.100153E-07  0.374156E-11 -0.284957E-14  0.144303E-21
  0.202319E+01  0.708137E+00  0.100192E-07  0.268328E-11 -0.109184E-14  0.280405E-22
  0.207025E+01  0.708137E+00  0.100086E-07  0.116426E-11  0.979686E-15  0.107473E-26
  0.211840E+01  0.708137E+00  0.100005E-07  0.173425E-12  0.226930E-15  0.512425E-29
  0.216767E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.221809E+01  0.708137E+00  0.100085E-07  0.463705E-11  0.274726E-14  0.269892E-24
  0.226968E+01  0.708137E+00  0.100149E-07  0.430394E-11  0.789268E-14  0.145636E-24
  0.232247E+01  0.708137E+00  0.100162E-07  0.323070E-11  0.469630E-14  0.992381E-25
  0.237649E+01  0.708137E+00  0.100128E-07  0.197172E-11 -0.230574E-14  0.893955E-25
  0.243176E+01  0.708137E+00  0.100040E-07  0.758381E-12 -0.219665E-14  0.131759E-25
  0.248832E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.254620E+01  0.708137E+00  0.100050E-07  0.219723E-11  0.411057E-14  0.196517E-22
  0.260542E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.266602E+01  0.708137E+00  0.100049E-07  0.448008E-11  0.869966E-14  0.326746E-21
  0.272803E+01  0.708137E+00  0.100343E-07  0.562195E-11  0.175107E-13  0.420344E-21
  0.279148E+01  0.708137E+00  0.100373E-07  0.408944E-11  0.162114E-13  0.231017E-21
  0.285640E+01  0.708137E+00  0.100178E-07  0.182679E-11  0.735230E-14  0.425898E-22
  0.292284E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.299082E+01  0.708137E+00  0.100022E-07  0.287829E-11 -0.806767E-14 -0.944116E-23
  0.306038E+01  0.708137E+00  0.100132E-07  0.304852E-11 -0.434050E-14 -0.309143E-22
  0.313156E+01  0.708137E+00  0.100085E-07  0.186033E-11  0.278623E-15 -0.663826E-22
  0.320440E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.327893E+01  0.708137E+00  0.100124E-07  0.424381E-11 -0.125541E-14 -0.443302E-21
  0.335520E+01  0.708137E+00  0.100286E-07  0.429924E-11  0.273511E-14 -0.237034E-21
  0.343323E+01  0.708137E+00  0.100234E-07  0.262903E-11  0.564703E-14 -0.314538E-22
  0.351309E+01  0.708137E+00  0.100065E-07  0.866523E-12  0.281918E-14  0.404606E-24
  0.359480E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.367841E+01  0.708137E+00  0.100200E-07  0.542588E-11 -0.121776E-13  0.354494E-21
  0.376396E+01  0.708137E+00  0.100447E-07  0.562876E-11 -0.136488E-13  0.215501E-21
  0.385151E+01  0.708137E+00  0.100357E-07  0.343724E-11 -0.938108E-14  0.282102E-21
  0.394109E+01  0.708137E+00  0.100114E-07  0.134876E-11 -0.481275E-14  0.111827E-20
  0.403275E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.412655E+01  0.708137E+00  0.100068E-07  0.458396E-11  0.110091E-13  0.239284E-20
  0.422253E+01  0.708137E+00  0.100208E-07  0.484978E-11  0.710301E-14  0.275322E-20
  0.432074E+01  0.708137E+00  0.100059E-07  0.430481E-11 -0.899820E-16  0.360729E-20
  0.442124E+01  0.708137E+00  0.100006E-07  0.635511E-11  0.609244E-14  0.621129E-20
  0.452407E+01  0.708137E+00  0.100293E-07  0.756993E-11  0.157296E-13  0.556937E-20
  0.462929E+01  0.708137E+00  0.100420E-07  0.684626E-11  0.119221E-13  0.252954E-20
  0.473697E+01  0.708137E+00  0.100314E-07  0.556053E-11 -0.527362E-14  0.894274E-20
  0.484714E+01  0.708137E+00  0.100216E-07  0.477390E-11 -0.160192E-13  0.561297E-19
  0.495988E+01  0.708137E+00  0.100201E-07  0.395966E-11 -0.202805E-13  0.105879E-19
  0.507524E+01  0.708137E+00  0.100177E-07  0.265929E-11 -0.130759E-13  0.486318E-20
  0.519328E+01  0.708137E+00  0.100067E-07  0.104815E-11 -0.310929E-14  0.445502E-20
  0.531407E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.543767E+01  0.708137E+00  0.100211E-07  0.583817E-11  0.483842E-14  0.221739E-17
  0.556415E+01  0.708137E+00  0.100459E-07  0.594687E-11  0.683249E-14  0.376200E-17
  0.569356E+01  0.708137E+00  0.100369E-07  0.366076E-11  0.369304E-14  0.475894E-17
  0.582599E+01  0.708137E+00  0.100031E-07  0.161937E-11  0.261532E-15  0.303948E-17
  0.596149E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.610015E+01  0.708137E+00  0.100697E-07  0.978382E-11 -0.648883E-14  0.422160E-17
  0.624203E+01  0.708137E+00  0.101034E-07  0.909431E-11 -0.153035E-13  0.389332E-18
  0.638722E+01  0.708137E+00  0.100756E-07  0.637811E-11 -0.156585E-13  0.152427E-20
  0.653577E+01  0.708137E+00  0.100277E-07  0.429911E-11 -0.659059E-14  0.154421E-20
  0.668779E+01  0.708137E+00  0.100074E-07  0.332662E-11 -0.389935E-15  0.243356E-20
  0.684334E+01  0.708137E+00  0.100048E-07  0.291954E-11  0.600599E-15  0.272576E-20
  0.700251E+01  0.708137E+00  0.100079E-07  0.226335E-11  0.258528E-15  0.135722E-20
  0.716538E+01  0.708137E+00  0.100059E-07  0.107505E-11 -0.606131E-15  0.153048E-21
  0.733204E+01  0.708137E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.750257E+01  0.708137E+00  0.100306E-07  0.806459E-11 -0.434478E-14  0.142933E-17
  0.767707E+01  0.708137E+00  0.100822E-07  0.985235E-11 -0.125137E-13  0.242634E-18
  0.785563E+01  0.708137E+00  0.100791E-07  0.808791E-11 -0.135174E-13 -0.811139E-22
  0.803834E+01  0.708137E+00  0.100488E-07  0.582317E-11 -0.981550E-14 -0.760576E-22
  0.822530E+01  0.708137E+00  0.100262E-07  0.415169E-11 -0.512017E-14  0.587757E-22
  0.841662E+01  0.708137E+00  0.100153E-07  0.281931E-11 -0.302780E-14  0.188675E-20
