 r Theta rho m1 m2 m3
        6144          96          64
   200.00000000000000     
  0.111279E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.113867E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.116516E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.119226E+01  0.171454E+00  0.100000E-07  0.497707E-12  0.201820E-16 -0.539936E-30
  0.121999E+01  0.171454E+00  0.100005E-07  0.276061E-12 -0.115767E-16 -0.937023E-29
  0.124837E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.127740E+01  0.171454E+00  0.100006E-07  0.100769E-11  0.360396E-16  0.295456E-25
  0.130711E+01  0.171454E+00  0.100008E-07  0.297205E-12 -0.673077E-17  0.215947E-26
  0.133751E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.136862E+01  0.171454E+00  0.100017E-07  0.107710E-11  0.162340E-15  0.163745E-26
  0.140045E+01  0.171454E+00  0.100019E-07  0.695827E-12  0.393878E-16  0.989127E-27
  0.143303E+01  0.171454E+00  0.100003E-07  0.252755E-12 -0.930109E-16  0.976496E-28
  0.146636E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.150046E+01  0.171454E+00  0.100029E-07  0.114243E-11 -0.348110E-16 -0.217927E-29
  0.153536E+01  0.171454E+00  0.100001E-07  0.423342E-12 -0.427824E-16  0.534136E-29
  0.157107E+01  0.171454E+00  0.100004E-07  0.156080E-11  0.207721E-15  0.655145E-28
  0.160761E+01  0.171454E+00  0.100019E-07  0.512798E-12  0.712413E-16  0.913079E-29
  0.164501E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.168327E+01  0.171454E+00  0.100051E-07  0.182325E-11 -0.968802E-16  0.635495E-27
  0.172242E+01  0.171454E+00  0.100046E-07  0.870351E-12 -0.209669E-16  0.121861E-27
  0.176248E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.180347E+01  0.171454E+00  0.100056E-07  0.281789E-11 -0.914871E-15  0.200491E-27
  0.184542E+01  0.171454E+00  0.100145E-07  0.253836E-11 -0.897157E-15  0.754328E-28
  0.188834E+01  0.171454E+00  0.100085E-07  0.120802E-11 -0.464114E-15  0.322159E-29
  0.193226E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.197720E+01  0.171454E+00  0.100022E-07  0.354350E-11  0.949364E-16  0.248613E-25
  0.202319E+01  0.171454E+00  0.100178E-07  0.401996E-11 -0.277403E-15  0.184980E-25
  0.207025E+01  0.171454E+00  0.100196E-07  0.276696E-11 -0.625553E-15  0.528193E-26
  0.211840E+01  0.171454E+00  0.100083E-07  0.111190E-11 -0.548038E-15  0.174094E-27
  0.216767E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.221809E+01  0.171454E+00  0.100107E-07  0.414896E-11  0.808745E-15  0.763910E-28
  0.226968E+01  0.171454E+00  0.100315E-07  0.431418E-11 -0.477245E-15  0.343811E-28
  0.232247E+01  0.171454E+00  0.100248E-07  0.237561E-11 -0.125094E-14  0.250305E-29
  0.237649E+01  0.171454E+00  0.100008E-07  0.820555E-12 -0.152672E-15  0.000000E+00
  0.243176E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.248832E+01  0.171454E+00  0.100202E-07  0.417234E-11  0.163123E-14  0.429608E-25
  0.254620E+01  0.171454E+00  0.100242E-07  0.276754E-11  0.384041E-15  0.254724E-25
  0.260542E+01  0.171454E+00  0.100063E-07  0.864765E-12  0.693252E-16  0.191762E-24
  0.266602E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.272803E+01  0.171454E+00  0.100272E-07  0.614937E-11  0.551739E-15  0.110099E-24
  0.279148E+01  0.171454E+00  0.100509E-07  0.592019E-11  0.104108E-14  0.735595E-25
  0.285640E+01  0.171454E+00  0.100388E-07  0.368663E-11  0.932545E-15  0.851902E-25
  0.292284E+01  0.171454E+00  0.100145E-07  0.159322E-11  0.441401E-15  0.300032E-25
  0.299082E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.306038E+01  0.171454E+00  0.100035E-07  0.394319E-11  0.481114E-14  0.100819E-24
  0.313156E+01  0.171454E+00  0.100226E-07  0.474944E-11  0.567731E-14  0.194473E-24
  0.320440E+01  0.171454E+00  0.100201E-07  0.327739E-11  0.290342E-14  0.342665E-24
  0.327893E+01  0.171454E+00  0.100001E-07  0.335852E-12 -0.752211E-17  0.178090E-24
  0.335520E+01  0.171454E+00  0.100125E-07  0.514643E-11 -0.136238E-14  0.443763E-23
  0.343323E+01  0.171454E+00  0.100349E-07  0.584611E-11 -0.414190E-15  0.454978E-23
  0.351309E+01  0.171454E+00  0.100248E-07  0.476784E-11 -0.318415E-15  0.251543E-23
  0.359480E+01  0.171454E+00  0.100102E-07  0.380918E-11 -0.365814E-15  0.133554E-23
  0.367841E+01  0.171454E+00  0.100093E-07  0.313898E-11  0.767925E-15  0.163822E-23
  0.376396E+01  0.171454E+00  0.100115E-07  0.197074E-11  0.605656E-15  0.174243E-23
  0.385151E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.394109E+01  0.171454E+00  0.100013E-07  0.531873E-11  0.248906E-14  0.194266E-22
  0.403275E+01  0.171454E+00  0.100437E-07  0.743878E-11  0.152315E-14  0.275124E-22
  0.412655E+01  0.171454E+00  0.100500E-07  0.587831E-11 -0.113717E-14  0.647170E-23
  0.422253E+01  0.171454E+00  0.100252E-07  0.319391E-11 -0.183792E-14  0.131104E-23
  0.432074E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.442124E+01  0.171454E+00  0.100292E-07  0.642832E-11  0.192884E-14  0.110161E-23
  0.452407E+01  0.171454E+00  0.100710E-07  0.726080E-11 -0.961700E-15  0.960325E-24
  0.462929E+01  0.171454E+00  0.100630E-07  0.496080E-11 -0.326086E-14  0.344586E-23
  0.473697E+01  0.171454E+00  0.100260E-07  0.211338E-11 -0.320972E-14  0.562843E-23
  0.484714E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.495988E+01  0.171454E+00  0.100026E-07  0.506385E-11  0.590008E-14  0.478081E-20
  0.507524E+01  0.171454E+00  0.100405E-07  0.710090E-11  0.821203E-14  0.115653E-19
  0.519328E+01  0.171454E+00  0.100430E-07  0.630005E-11  0.130683E-14  0.158381E-19
  0.531407E+01  0.171454E+00  0.100219E-07  0.494419E-11 -0.492116E-14  0.107080E-19
  0.543767E+01  0.171454E+00  0.100118E-07  0.410576E-11 -0.701464E-14  0.698913E-21
  0.556415E+01  0.171454E+00  0.100140E-07  0.319464E-11 -0.512132E-14  0.000000E+00
  0.569356E+01  0.171454E+00  0.100122E-07  0.170961E-11 -0.179369E-14  0.000000E+00
  0.582599E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.596149E+01  0.171454E+00  0.100156E-07  0.739185E-11 -0.426036E-14  0.123106E-20
  0.610015E+01  0.171454E+00  0.100797E-07  0.103493E-10 -0.639033E-14  0.747147E-22
  0.624203E+01  0.171454E+00  0.100791E-07  0.905934E-11 -0.535686E-14  0.129358E-22
  0.638722E+01  0.171454E+00  0.100376E-07  0.713196E-11 -0.289142E-14  0.390061E-21
  0.653577E+01  0.171454E+00  0.100143E-07  0.611541E-11 -0.196981E-15  0.175386E-20
  0.668779E+01  0.171454E+00  0.100180E-07  0.537918E-11  0.183543E-14  0.320915E-20
  0.684334E+01  0.171454E+00  0.100251E-07  0.406124E-11  0.166636E-14  0.327308E-20
  0.700251E+01  0.171454E+00  0.100196E-07  0.206398E-11  0.487825E-15  0.152892E-20
  0.716538E+01  0.171454E+00  0.100000E-07  0.000000E+00  0.000000E+00  0.000000E+00
  0.733204E+01  0.171454E+00  0.100063E-07  0.657565E-11  0.156465E-14  0.154233E-21
  0.750257E+01  0.171454E+00  0.100704E-07  0.959792E-11 -0.198330E-14  0.405963E-22
  0.767707E+01  0.171454E+00  0.100875E-07  0.829527E-11 -0.600176E-14  0.260030E-23
  0.785563E+01  0.171454E+00  0.100620E-07  0.568526E-11 -0.588377E-14  0.149496E-23
